Longitude (deg),Latitude (deg),"Rainfall class (0: < 0.5, 1: [0.5 4), 2: [4,8), 3: >= 8 (mm/day)"
182.5,24.9738219895288,1.0
293.75,-21.204188481675388,0.0
236.25,-53.24607329842932,1.0
158.75,-2.356020942408378,3.0
343.75,-18.376963350785346,1.0
120.0,43.8219895287958,2.0
133.75,17.43455497382199,3.0
233.75,57.958115183246065,1.0
260.0,-35.340314136125656,2.0
333.75,-0.47120418848167844,1.0
32.5,13.66492146596859,1.0
242.5,-7.068062827225134,1.0
236.25,-57.01570680628272,1.0
160.0,30.6282722513089,1.0
282.5,8.952879581151834,3.0
6.25,-38.167539267015705,1.0
118.75,-0.47120418848167844,2.0
292.5,-26.8586387434555,0.0
332.5,40.0523560209424,1.0
187.5,36.282722513089,1.0
292.5,44.764397905759154,1.0
77.5,-38.167539267015705,1.0
83.75,43.8219895287958,1.0
106.25,-28.7434554973822,1.0
137.5,-42.87958115183246,1.0
300.0,-19.31937172774869,0.0
12.5,-30.6282722513089,0.0
258.75,24.031413612565444,1.0
131.25,-50.41884816753927,1.0
182.5,-32.5130890052356,2.0
182.5,2.356020942408378,2.0
226.25,26.8586387434555,0.0
202.5,58.90052356020942,1.0
16.25,-47.59162303664922,2.0
33.75,56.07329842931938,1.0
208.75,-16.492146596858646,1.0
203.75,38.16753926701571,1.0
156.25,3.2984293193717207,3.0
136.25,40.0523560209424,1.0
221.25,10.837696335078533,3.0
197.5,-12.722513089005233,1.0
193.75,-3.298429319371735,1.0
342.5,-18.376963350785346,1.0
87.5,6.125654450261777,3.0
318.75,-36.282722513089006,2.0
336.25,-56.07329842931937,1.0
230.0,-45.70680628272251,1.0
42.5,12.722513089005233,0.0
8.75,30.6282722513089,0.0
163.75,31.570680628272257,1.0
333.75,25.916230366492144,0.0
133.75,-22.146596858638745,0.0
77.5,-46.64921465968587,2.0
231.25,-36.282722513089006,2.0
85.0,-14.607329842931932,1.0
123.75,32.5130890052356,2.0
316.25,36.282722513089,1.0
350.0,-24.9738219895288,1.0
325.0,8.952879581151834,3.0
106.25,59.84293193717278,1.0
192.5,3.2984293193717207,2.0
103.75,4.240837696335078,3.0
187.5,-4.240837696335078,2.0
160.0,32.5130890052356,1.0
258.75,23.089005235602087,1.0
331.25,55.13089005235602,1.0
26.25,-13.66492146596859,0.0
156.25,-35.340314136125656,1.0
242.5,-54.18848167539267,1.0
32.5,21.204188481675388,0.0
110.0,-51.361256544502616,2.0
125.0,39.10994764397907,2.0
125.0,14.607329842931932,3.0
77.5,23.089005235602087,2.0
7.5,55.13089005235602,1.0
246.25,42.87958115183247,1.0
42.5,37.225130890052355,0.0
145.0,30.6282722513089,1.0
335.0,-15.54973821989529,1.0
282.5,41.93717277486911,1.0
140.0,13.66492146596859,3.0
317.5,56.07329842931938,1.0
312.5,19.31937172774869,1.0
158.75,29.685863874345543,1.0
77.5,-25.916230366492144,1.0
145.0,23.089005235602087,2.0
101.25,-41.93717277486911,1.0
162.5,-49.47643979057592,1.0
191.25,16.492146596858632,1.0
170.0,-15.54973821989529,1.0
335.0,44.764397905759154,1.0
78.75,50.41884816753927,1.0
310.0,38.16753926701571,1.0
137.5,55.13089005235602,1.0
198.75,11.78010471204189,2.0
